;x;y;Ru;Pd
Spektrum 1 {6};-22.67;-40.969;75.0;25.0
Spektrum 1 {7};-18.169;-40.969;72.8;27.2
Spektrum 1 {8};-13.67;-40.969;69.1;30.9
Spektrum 1 {9};-9.17;-40.969;65.2;34.8
Spektrum 1 {10};-4.67;-40.969;61.7;38.3
Spektrum 1 {11};-0.171;-40.969;57.9;42.1
Spektrum 1 {12};4.319;-40.969;54.8;45.2
Spektrum 1 {13};8.819;-40.969;50.3;49.7
Spektrum 1 {14};13.319;-40.969;46.1;53.9
Spektrum 1 {15};17.819;-40.969;43.3;56.7
Spektrum 1 {16};22.319;-40.969;39.0;61.0
Spektrum 1 {26};-27.17;-36.47;77.7;22.3
Spektrum 1 {27};-22.669;-36.47;76.1;23.9
Spektrum 1 {28};-18.17;-36.47;73.1;26.9
Spektrum 1 {29};-13.669;-36.47;70.4;29.6
Spektrum 1 {30};-9.17;-36.47;66.4;33.6
Spektrum 1 {31};-4.668;-36.47;63.4;36.6
Spektrum 1 {32};-0.169;-36.47;60.1;39.9
Spektrum 1 {33};4.318;-36.47;54.8;45.2
Spektrum 1 {34};8.819;-36.47;52.0;48.0
Spektrum 1 {35};13.318;-36.47;48.3;51.7
Spektrum 1 {36};17.819;-36.47;44.8;55.2
Spektrum 1 {37};22.32;-36.47;40.6;59.4
Spektrum 1 {38};26.82;-36.47;35.9;64.1
Spektrum 1 {46};-31.67;-31.969;82.8;17.2
Spektrum 1 {47};-27.171;-31.969;80.5;19.5
Spektrum 1 {48};-22.67;-31.969;77.7;22.3
Spektrum 1 {49};-18.171;-31.969;75.2;24.8
Spektrum 1 {50};-13.67;-31.969;72.4;27.6
Spektrum 1 {51};-9.169;-31.969;67.7;32.3
Spektrum 1 {52};-4.669;-31.969;63.5;36.5
Spektrum 1 {53};-0.169;-31.969;61.4;38.6
Spektrum 1 {54};4.318;-31.969;57.2;42.8
Spektrum 1 {55};8.819;-31.969;54.0;46.0
Spektrum 1 {56};13.32;-31.969;48.7;51.3
Spektrum 1 {57};17.819;-31.969;45.9;54.1
Spektrum 1 {58};22.32;-31.969;41.8;58.2
Spektrum 1 {59};26.819;-31.969;39.0;61.0
Spektrum 1 {60};31.32;-31.969;34.7;65.3
Spektrum 1 {66};-36.169;-27.464;84.5;15.5
Spektrum 1 {67};-31.672;-27.464;83.7;16.3
Spektrum 1 {68};-27.171;-27.464;81.4;18.6
Spektrum 1 {69};-22.669;-27.464;79.4;20.6
Spektrum 1 {70};-18.168;-27.464;76.9;23.1
Spektrum 1 {71};-13.669;-27.464;72.7;27.3
Spektrum 1 {72};-9.17;-27.464;69.8;30.2
Spektrum 1 {73};-4.669;-27.464;65.8;34.2
Spektrum 1 {74};-0.169;-27.464;62.9;37.1
Spektrum 1 {75};4.321;-27.464;57.9;42.1
Spektrum 1 {76};8.819;-27.464;54.5;45.5
Spektrum 1 {77};13.319;-27.464;50.5;49.5
Spektrum 1 {78};17.82;-27.464;46.2;53.8
Spektrum 1 {79};22.32;-27.464;43.4;56.6
Spektrum 1 {80};26.82;-27.464;38.4;61.6
Spektrum 1 {81};31.321;-27.464;35.9;64.1
Spektrum 1 {82};35.818;-27.464;32.1;67.9
Spektrum 1 {86};-40.67;-22.967;87.6;12.4
Spektrum 1 {87};-36.17;-22.967;86.0;14.0
Spektrum 1 {88};-31.669;-22.967;83.7;16.3
Spektrum 1 {89};-27.17;-22.967;81.9;18.1
Spektrum 1 {90};-22.668;-22.967;79.6;20.4
Spektrum 1 {91};-18.168;-22.967;77.5;22.5
Spektrum 1 {92};-13.67;-22.967;74.9;25.1
Spektrum 1 {93};-9.169;-22.967;71.0;29.0
Spektrum 1 {94};-4.671;-22.967;68.2;31.8
Spektrum 1 {95};-0.171;-22.967;64.3;35.7
Spektrum 1 {96};4.32;-22.967;59.4;40.6
Spektrum 1 {97};8.819;-22.967;55.8;44.2
Spektrum 1 {98};13.318;-22.967;52.5;47.5
Spektrum 1 {99};17.82;-22.967;48.5;51.5
Spektrum 1 {100};22.32;-22.967;43.9;56.1
Spektrum 1 {101};26.82;-22.967;40.6;59.4
Spektrum 1 {102};31.318;-22.967;37.8;62.2
Spektrum 1 {103};35.819;-22.967;34.4;65.6
Spektrum 1 {104};40.318;-22.967;31.8;68.2
Spektrum 1 {107};-40.671;-18.467;87.8;12.2
Spektrum 1 {108};-36.169;-18.467;86.7;13.3
Spektrum 1 {109};-31.67;-18.467;85.7;14.3
Spektrum 1 {110};-27.169;-18.467;82.6;17.4
Spektrum 1 {111};-22.669;-18.467;80.6;19.4
Spektrum 1 {112};-18.168;-18.467;78.7;21.3
Spektrum 1 {113};-13.671;-18.467;75.1;24.9
Spektrum 1 {114};-9.169;-18.467;72.5;27.5
Spektrum 1 {115};-4.668;-18.467;68.2;31.8
Spektrum 1 {116};-0.169;-18.467;66.1;33.9
Spektrum 1 {117};4.32;-18.467;60.5;39.5
Spektrum 1 {118};8.819;-18.467;56.0;44.0
Spektrum 1 {119};13.32;-18.467;54.5;45.5
Spektrum 1 {120};17.818;-18.467;49.4;50.6
Spektrum 1 {121};22.32;-18.467;46.5;53.5
Spektrum 1 {122};26.82;-18.467;42.8;57.2
Spektrum 1 {123};31.32;-18.467;38.0;62.0
Spektrum 1 {124};35.82;-18.467;36.5;63.5
Spektrum 1 {125};40.318;-18.467;32.4;67.6
Spektrum 1 {127};-45.167;-13.964;90.1;9.9
Spektrum 1 {128};-40.672;-13.964;88.4;11.6
Spektrum 1 {129};-36.17;-13.964;87.7;12.3
Spektrum 1 {130};-31.67;-13.964;86.4;13.6
Spektrum 1 {131};-27.171;-13.964;83.5;16.5
Spektrum 1 {132};-22.67;-13.964;82.2;17.8
Spektrum 1 {133};-18.168;-13.964;79.8;20.2
Spektrum 1 {134};-13.669;-13.964;76.7;23.3
Spektrum 1 {135};-9.169;-13.964;73.1;26.9
Spektrum 1 {136};-4.668;-13.964;70.7;29.3
Spektrum 1 {137};-0.168;-13.964;66.3;33.7
Spektrum 1 {138};4.319;-13.964;63.2;36.8
Spektrum 1 {139};8.819;-13.964;59.6;40.4
Spektrum 1 {140};13.319;-13.964;55.8;44.2
Spektrum 1 {141};17.819;-13.964;50.7;49.3
Spektrum 1 {142};22.32;-13.964;48.1;51.9
Spektrum 1 {143};26.819;-13.964;43.7;56.3
Spektrum 1 {144};31.32;-13.964;40.6;59.4
Spektrum 1 {145};35.819;-13.964;36.4;63.6
Spektrum 1 {146};40.319;-13.964;33.1;66.9
Spektrum 1 {147};44.819;-13.964;29.8;70.2
Spektrum 1 {148};-45.169;-9.466;90.8;9.2
Spektrum 1 {149};-40.67;-9.466;89.2;10.8
Spektrum 1 {150};-36.171;-9.466;89.0;11.0
Spektrum 1 {151};-31.671;-9.466;85.3;14.7
Spektrum 1 {152};-27.171;-9.466;85.1;14.9
Spektrum 1 {153};-22.669;-9.466;82.7;17.3
Spektrum 1 {154};-18.17;-9.466;80.0;20.0
Spektrum 1 {155};-13.669;-9.466;77.1;22.9
Spektrum 1 {156};-9.169;-9.466;74.9;25.1
Spektrum 1 {157};-4.668;-9.466;72.4;27.6
Spektrum 1 {158};-0.17;-9.466;68.9;31.1
Spektrum 1 {159};4.318;-9.466;65.0;35.0
Spektrum 1 {160};8.819;-9.466;61.6;38.4
Spektrum 1 {161};13.32;-9.466;57.5;42.5
Spektrum 1 {162};17.821;-9.466;52.5;47.5
Spektrum 1 {163};22.32;-9.466;48.8;51.2
Spektrum 1 {164};26.82;-9.466;45.9;54.1
Spektrum 1 {165};31.318;-9.466;42.2;57.8
Spektrum 1 {166};35.821;-9.466;37.8;62.2
Spektrum 1 {167};40.319;-9.466;34.2;65.8
Spektrum 1 {168};44.82;-9.466;31.9;68.1
Spektrum 1 {169};-45.167;-4.966;90.0;10.0
Spektrum 1 {170};-40.67;-4.966;90.4;9.6
Spektrum 1 {171};-36.17;-4.966;87.4;12.6
Spektrum 1 {172};-31.67;-4.966;87.5;12.5
Spektrum 1 {173};-27.171;-4.966;84.6;15.4
Spektrum 1 {174};-22.67;-4.966;82.7;17.3
Spektrum 1 {175};-18.17;-4.966;81.3;18.7
Spektrum 1 {176};-13.669;-4.966;78.3;21.7
Spektrum 1 {177};-9.171;-4.966;74.8;25.2
Spektrum 1 {178};-4.671;-4.966;73.0;27.0
Spektrum 1 {179};-0.169;-4.966;69.6;30.4
Spektrum 1 {180};4.32;-4.966;65.6;34.4
Spektrum 1 {181};8.82;-4.966;62.4;37.6
Spektrum 1 {182};13.319;-4.966;59.4;40.6
Spektrum 1 {183};17.819;-4.966;55.3;44.7
Spektrum 1 {184};22.32;-4.966;49.8;50.2
Spektrum 1 {185};26.819;-4.966;46.7;53.3
Spektrum 1 {186};31.319;-4.966;42.0;58.0
Spektrum 1 {187};35.819;-4.966;40.1;59.9
Spektrum 1 {188};40.318;-4.966;36.6;63.4
Spektrum 1 {189};44.819;-4.966;32.6;67.4
Spektrum 1 {190};-45.168;-0.468;91.7;8.3
Spektrum 1 {191};-40.672;-0.468;89.9;10.1
Spektrum 1 {192};-36.17;-0.468;88.3;11.7
Spektrum 1 {193};-31.67;-0.468;86.8;13.2
Spektrum 1 {194};-27.169;-0.468;85.1;14.9
Spektrum 1 {195};-22.669;-0.468;84.3;15.7
Spektrum 1 {196};-18.169;-0.468;82.0;18.0
Spektrum 1 {197};-13.669;-0.468;79.8;20.2
Spektrum 1 {198};-9.17;-0.468;77.5;22.5
Spektrum 1 {199};-4.67;-0.468;74.4;25.6
Spektrum 1 {200};-0.169;-0.468;71.1;28.9
Spektrum 1 {201};4.32;-0.468;66.8;33.2
Spektrum 1 {202};8.82;-0.468;64.5;35.5
Spektrum 1 {203};13.319;-0.468;59.3;40.7
Spektrum 1 {204};17.818;-0.468;55.4;44.6
Spektrum 1 {205};22.318;-0.468;52.2;47.8
Spektrum 1 {206};26.818;-0.468;48.7;51.3
Spektrum 1 {207};31.318;-0.468;44.4;55.6
Spektrum 1 {208};35.818;-0.468;40.7;59.3
Spektrum 1 {209};40.318;-0.468;37.8;62.2
Spektrum 1 {210};44.819;-0.468;34.1;65.9
Spektrum 1 {211};-45.167;4.022;91.9;8.1
Spektrum 1 {212};-40.67;4.022;90.6;9.4
Spektrum 1 {213};-36.17;4.022;89.8;10.2
Spektrum 1 {214};-31.67;4.022;87.9;12.1
Spektrum 1 {215};-27.171;4.022;87.6;12.4
Spektrum 1 {216};-22.67;4.022;83.8;16.2
Spektrum 1 {217};-18.17;4.022;83.0;17.0
Spektrum 1 {218};-13.671;4.022;80.9;19.1
Spektrum 1 {219};-9.17;4.022;77.7;22.3
Spektrum 1 {220};-4.671;4.022;75.3;24.7
Spektrum 1 {221};-0.169;4.022;71.9;28.1
Spektrum 1 {222};4.32;4.022;68.7;31.3
Spektrum 1 {223};8.819;4.022;65.5;34.5
Spektrum 1 {224};13.32;4.022;61.7;38.3
Spektrum 1 {225};17.819;4.022;56.3;43.7
Spektrum 1 {226};22.32;4.022;53.1;46.9
Spektrum 1 {227};26.82;4.022;49.0;51.0
Spektrum 1 {228};31.32;4.022;48.8;51.2
Spektrum 1 {229};35.818;4.022;42.3;57.7
Spektrum 1 {230};40.319;4.022;38.5;61.5
Spektrum 1 {231};44.819;4.022;35.5;64.5
